Bruegger's Bagels;Spinach & Cheddar Omelet with Bacon Plain Bagel Breakfast Sandwich;1;560
Bruegger's Bagels;Spinach & Cheddar Omelet on Plain Bagel Breakfast Sandwich;1;490
Bruegger's Bagels;Smoked Salmon on Plain Bagel Breakfast Sandwich;1;460
Bruegger's Bagels;Rio Grande Breakfast Wrap, with Sausage;1;639
Bruegger's Bagels;Rio Grande Breakfast Wrap, with Ham;1;520
Bruegger's Bagels;Rio Grande Breakfast Wrap, with Bacon;1;679
Bruegger's Bagels;Egg, Cheese & Sausage Breakfast Bagel Sandwich;1;670
Bruegger's Bagels;Egg, Cheese & Ham Breakfast Bagel Sandwich;1;510
Bruegger's Bagels;Egg, Cheese & Bacon Breakfast Bagel Sandwich;1;576
Bruegger's Bagels;Egg White, Cheese & Sausage Breakfast Bagel Sandwich;1;550
Bruegger's Bagels;Egg White, Cheese & Ham Breakfast Sandwich;1;440
Bruegger's Bagels;Egg White, Cheese & Bacon Breakfast Sandwich;1;460
Bruegger's Bagels;Western on Plain Bagel Breakfast Sandwich;1;670
Bruegger's Bagels;Sriracha Egg & Sausage Plain Bagel Breakfast Sandwich;1;680
Bruegger's Bagels;Sriracha  Cracked Egg & Sausage Plain Bagel Breakfast Sandwich;1;650
Bruegger's Bagels;Spinach & Cheddar Omelet with Sausage on Plain Bagel Breakfast Sandwich;1;660
Bruegger's Bagels;Spinach & Cheddar Omelet with Ham Plain Bagel Breakfast Sandwich;1;540
Bruegger's Bagels;Egg White & Sundried Tomato Breakfast Bagel Sandwich;1;470
Bruegger's Bagels;Egg White & Cheese Breakfast Bagel Sandwich;1;390
Bruegger's Bagels;Egg & Cheese Breakfast Bagel Sandwich;1;502
Bruegger's Bagels;Cracked Egg, Cheese & Turkey Sausage Breakfast Bagel Sandwich;1;530
Bruegger's Bagels;Cracked Egg, Cheese & Sausage Breakfast Bagel Sandwich;1;610
Bruegger's Bagels;Cracked Egg, Cheese & Ham Breakfast Bagel Sandwich;1;500
Bruegger's Bagels;Cracked Egg, Cheese & Bacon Breakfast Bagel Sandwich;1;520
IHOP;55+ Breakfast Sampler, without eggs;1;640
IHOP;Sirloin Tips & Eggs Breakfast;1;1349
IHOP;Simple & Fit Two-Egg Breakfast Combo, without fruit;1;350
IHOP;Simple & Fit Oatmeal;1;290
IHOP;Quick Two-Egg Breakfast;1;1079
IHOP;Pigs In Blankets Breakfast;1;979
IHOP;Migas, without tortillas;1;1139
IHOP;Migas with Chorizo, without tortillas;1;1399
IHOP;Made To Top Griddle Faves, Classic Breakfast Crepes;1;1040
IHOP;Machaca, without tortillas;1;1269
IHOP;Loco Moco;1;1189
IHOP;Huevos Rancheros, without tortillas;1;1109
IHOP;Flour Tortillas;1;280
IHOP;Corned Beef Hash & Eggs Breakfast;1;1109
IHOP;Corn Tortillas;1;190
IHOP;Classic Skillets;1;1459
IHOP;Top Sirloin Steak & Eggs Breakfast;1;1089
IHOP;Thick-Cut Bone-In Ham & Eggs Breakfast;1;1169
IHOP;Stuffed French Toast, side order;1;450
IHOP;Split Decision Breakfast Combo, without eggs;1;860
IHOP;South-of-the-Border Breakfast Burrito;1;1379
IHOP;Chorizo & Eggs Breakfast;1;1399
IHOP;Chicken/Country Fried Steak, without eggs, with Sausage Gravy;1;1530
IHOP;CINN-A-STACK French Toast;1;1119
IHOP;Breakfast Sampler, without eggs;1;920
IHOP;Breakfast Eggs Benedict;1;1019
IHOP;Breakfast Chicken Fried Chicken & Eggs with Sausage Gravy;1;1299
IHOP;Big Two-Egg Breakfast;1;879
IHOP;Big Country Breakfast;1;1129
Ruby's Diner;Awesome Egg Sandwich;1;917
Ruby's Diner;Eggs Benedict;1;772
Ruby's Diner;Egg White Omelette;1;380
Ruby's Diner;Denver Omelette;1;894
Ruby's Diner;Corned Beef Scramble, without toast;1;1074
Ruby's Diner;Corned Beef Hash & Eggs, without toast;1;1025
Ruby's Diner;Cinnamon Roll French Toast, without sides;1;1390
Ruby's Diner;Chili Con Carne & Cheese Omelette;1;967
Ruby's Diner;Breakfast Component, White Toast;1;288
Ruby's Diner;Breakfast Component, Wheat toast;1;307
Ruby's Diner;Breakfast Component, Veggie Sausage Patties;1;156
Ruby's Diner;Breakfast Component, Two Poached Eggs;1;180
Ruby's Diner;Breakfast Component, Two Eggs;1;230
Ruby's Diner;Breakfast Component, Turkey Sausage;1;195
Ruby's Diner;Breakfast Component, Sugar-Free Syrup;1;11
Ruby's Diner;Breakfast Component, Strawberry Jam;1;35
Ruby's Diner;Veggie Omelette;1;882
Ruby's Diner;Two Eggs Breakfast, without toast;1;377
Ruby's Diner;Two Eggs Breakfast with Veggie Sausage, without toast;1;533
Ruby's Diner;Two Eggs Breakfast with Turkey Sausage, without toast;1;572
Ruby's Diner;Two Eggs Breakfast with Sausage, without toast;1;767
Ruby's Diner;Two Eggs Breakfast with Poached Eggs, without toast;1;327
Ruby's Diner;Two Eggs Breakfast with Canadian Bacon, without toast;1;466
Ruby's Diner;Two Eggs Breakfast with Bacon, without toast;1;507
Ruby's Diner;Turkey Sausage Scramble, without toast;1;945
Ruby's Diner;Skinny Eggs;1;590
Ruby's Diner;Santa Fe Omelette;1;977
Ruby's Diner;Ruby's Hot Cakes, without sides;1;720
Ruby's Diner;Ruby's Hot Cakes with Pecan Mix-ins, without sides;1;920
Ruby's Diner;Ruby's Hot Cakes with Bacon Mix-ins, without sides;1;810
Ruby's Diner;Ruby's French Toast, without sides;1;930
Ruby's Diner;Ruby's Butcher Block Omelette with Veggie Sausage;1;967
Ruby's Diner;Ruby's Butcher Block Omelette with Turkey Sausage;1;1007
Ruby's Diner;Ruby's Butcher Block Omelette with Sausage;1;1397
Ruby's Diner;Ruby's Butcher Block Omelette with Ham;1;934
Ruby's Diner;Ruby's Butcher Block Omelette with Bacon;1;965
Ruby's Diner;Ruby's Breakfast Burrito;1;972
Ruby's Diner;Portobello Mushroom Benedict;1;801
Ruby's Diner;Oatmeal, Golden Raisins & Pecans;1;730
Ruby's Diner;Multi-Grain Pancakes, without sides;1;456
Ruby's Diner;Jumbo Cinnamon Roll;1;980
Ruby's Diner;Huevos Rancheros;1;1243
Ruby's Diner;Ham Steak & Eggs, without toast;1;622
Ruby's Diner;Ground Beef Scramble, without toast;1;881
Ruby's Diner;Garden Scramble, without toast;1;924
Ruby's Diner;Breakfast Component, Sourdough Toast;1;270
Ruby's Diner;Breakfast Component, Sausage;1;390
Ruby's Diner;Breakfast Component, Rye Toast;1;330
Ruby's Diner;Breakfast Component, RubySpuds;1;147
Ruby's Diner;Breakfast Component, Original Eggbeaters;1;60
Ruby's Diner;Breakfast Component, Orange Marmalade;1;35
Ruby's Diner;Breakfast Component, Mixed Fruit;1;90
Ruby's Diner;Breakfast Component, Lean Canadian Bacon;1;180
Ruby's Diner;Breakfast Component, Ham Steak & Eggs, without toast;1;245
Ruby's Diner;Breakfast Component, English Muffin;1;200
Ruby's Diner;Breakfast Component, Egg Whites Eggbeaters;1;40
Ruby's Diner;Breakfast Component, Blackberry Jam;1;35
Ruby's Diner;Breakfast Component, Bacon;1;103
Ruby's Diner;Breakfast Burger;1;1274
Ruby's Diner;Beignets;1;703
Ruby's Diner;Bagel & Low-Fat Cream Cheese;1;360
Ruby's Diner;Awesome Egg Sandwich with Veggie Sausage;1;1110
Ruby's Diner;Awesome Egg Sandwich with Turkey Sausage;1;1112
Ruby's Diner;Awesome Egg Sandwich with Bacon;1;1047
Mimi's Cafe;Buttermilk Spice Muffin;1;879
Mimi's Cafe;Buttermilk Pancakes Breakfast Side;1;669
Mimi's Cafe;Bayonne-style Corned Beef Hash Benedict;1;1089
Mimi's Cafe;Bayonne-style Corned Beef Hash & Eggs, without Provencal Potatoes;1;809
Mimi's Cafe;Bayonee- Style Corned Beef Hash Breakfast Side;1;420
Mimi's Cafe;Basquaise Omelette;1;799
Mimi's Cafe;Bacon Apple Waffle;1;969
Mimi's Cafe;Almond Croissant;1;390
Mimi's Cafe;All-Butter Croissant;1;440
Mimi's Cafe;Pyrenees Omelette;1;739
Mimi's Cafe;Provencal Potatoes Breakfast Side;1;230
Mimi's Cafe;Pork Sausage Links Breakfast Side;1;310
Mimi's Cafe;Pork Sausage & Eggs, with Provencal Potatoes;1;699
Mimi's Cafe;Pommes Lyonnaise Benedict, with Fresh-Cut Fruit;1;779
Mimi's Cafe;Pain au Chocolat Croissant;1;290
Mimi's Cafe;Original Quiche Lorraine, with Fresh-Cut Fruit;1;859
Mimi's Cafe;Whole Wheat Toast Breakfast Side;1;250
Mimi's Cafe;White Toast Breakfast Side;1;330
Mimi's Cafe;Two Eggs, with Provencal Potatoes;1;390
Mimi's Cafe;Turkey Sausage Links Breakfast Side;1;140
Mimi's Cafe;Turkey Sausage & Eggs, with Provencal Potatoes;1;529
Mimi's Cafe;Strawberry Waffle Perdu;1;549
Mimi's Cafe;Sourdough Toast Breakfast Side;1;350
Mimi's Cafe;Slow-Smoked Ham Breakfast Side;1;160
Mimi's Cafe;Slow- Smoked Ham & Eggs, with Provencal Potatoes;1;549
Mimi's Cafe;Rye Toast Breakfast Side;1;410
Mimi's Cafe;Quiche du Saison, with Fresh-Cut Fruit;1;809
Mimi's Cafe;Original Pain Perdu;1;620
Mimi's Cafe;Original French Toast;1;799
Mimi's Cafe;Original Buttermilk Pancakes, Tall Stack;1;1159
Mimi's Cafe;Original Buttermilk Pancakes, Petite Stack;1;719
Mimi's Cafe;Original Benedict;1;1019
Mimi's Cafe;Oatmeal Breakfast Side;1;420
Mimi's Cafe;Multigrain Croissant;1;400
Mimi's Cafe;Marseille Omelette;1;290
Mimi's Cafe;Low-Fat Blueberry Muffin;1;520
Mimi's Cafe;Le California BLT Omelette;1;894
Mimi's Cafe;Honey Bran Muffin;1;649
Mimi's Cafe;Hickory-Smoked Bacon Breakfast Side;1;140
Mimi's Cafe;Hickory-Smoked Bacon & Eggs, with Provencal Potatoes;1;529
Mimi's Cafe;Fresh-Cut Fruit Breakfast Side;1;50
Mimi's Cafe;English Muffin Breakfast Side;1;190
Mimi's Cafe;Egg Whites Breakfast Side;1;60
Mimi's Cafe;Egg Breakfast Side;1;80
Mimi's Cafe;Croque Madame Waffle;1;1084
Mimi's Cafe;Croissant Sandwich, with Slow- Smoked Ham;1;874
Mimi's Cafe;Croissant Sandwich, with Hickory-Smoked Bacon;1;864
Mimi's Cafe;Croissant Eggs Benedict;1;1019
Mimi's Cafe;Crepes Florentine;1;575
Mimi's Cafe;Classic Waffle;1;879
Mimi's Cafe;Cinnamon Brioche Roll;1;809
Mimi's Cafe;Cinnamon Brioche French Toast;1;1119
Mimi's Cafe;Carrot Raisin Nut Muffin;1;829
Einstein Bros. Bagels;Albacore Tuna Salad Sandwich;2;480
Einstein Bros. Bagels;Turkey Club Lunch Panini;2;799
Einstein Bros. Bagels;Smart Choices, Tuscan Chicken Pesto Bagel Thin Lunch Sandwich;2;340
Einstein Bros. Bagels;Smart Choice, Bagel Thin Club Lunch Sandwich;2;330
Einstein Bros. Bagels;Italian Chicken Lunch Panini;2;849
Einstein Bros. Bagels;Chicken Cuban Lunch Panini;2;739
Einstein Bros. Bagels;BBQ Chicken Artisan Lunch Panini;2;809
Einstein Bros. Bagels;Strawberry Chicken Chopped Salad;2;320
Einstein Bros. Bagels;Garden Salad;2;220
Au Bon Pain;Teriyaki Steak Harvest Hot Bowl;2;600
Panda Express;Teriyaki or Asian Chicken;2;340
Jack in the Box;Regular Taco;2;170
Wendy's;Spicy Chicken Nuggets, without sauce;2;47
Chick-fil-A;Nuggets, without dipping sauce;2;260
Taco Bell;Shredded Chicken Quesadilla;2;510
Habit Burger Grill;Side Salad, without dressing;2;45
Del Taco;Spicy Jack Quesadilla;2;460
Del Taco;Spicy Jack Chicken Quesadilla;2;549
Del Taco;Mini Cheddar Quesadilla;2;140
Del Taco;Mini Bacon Quesadilla;2;170
Del Taco;Chicken Cheddar Quesadilla;2;549
Del Taco;Cheddar Quesadilla;2;460
Del Taco;Value Bean & Cheese Burrito, with Red Sauce;2;320
Del Taco;Value Bean & Cheese Burrito, with Green Sauce;2;310
Del Taco;Spicy Grilled Chicken Burrito;2;529
Del Taco;Macho Combo Burrito;2;939
Del Taco;Macho Chicken Burrito;2;919
